Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2021,2022,2023,2024,Estimates Start After
Canada,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 03/2023","2,103.31","2,174.74","2,206.34","2,239.39",2022
Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.012,3.396,1.453,1.498,2022
Canada,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 03/2023","2,509.62","2,785.12","2,839.56","2,948.60",2022
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,001.49","2,139.84","2,089.67","2,178.82",2022
Canada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,046.66","2,264.42","2,385.12","2,474.48",2022
Canada,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",119.318,128.067,128.7,131.67,2022
Canada,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","55,052.86","55,983.82","55,665.93","55,741.74",2022
France,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 03/2023","2,295.20","2,355.01","2,371.52","2,401.25",2021
France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.77,2.606,0.701,1.254,2021
France,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 03/2023","2,498.82","2,641.69","2,750.65","2,863.24",2021
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,957.42","2,784.02","2,923.49","3,018.89",2021
France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,373.76","3,704.21","3,872.73","4,008.15",2021
France,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",108.872,112.173,115.987,119.24,2021
France,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","35,067.80","35,873.98","36,023.85","36,373.56",2021
